Posición,Selección,Mundiales,Campeón,PTS,PJ,PG,PE,PP,GF,GC,Dif
1.,Brasil,22,5,237,109,73,18,18,229,105,124
2.,Alemania,20,4,221,109,67,20,22,226,125,101
3.,Italia,18,4,156,83,45,21,17,128,77,51
4.,Argentina,18,2,144,81,43,15,23,137,93,44
5.,Francia,16,2,115,66,34,13,19,120,77,43
6.,Inglaterra,16,1,108,69,29,21,19,91,64,27
7.,España,16,1,105,63,30,15,18,99,72,27
8.,Holanda,11,-,93,50,27,12,11,86,48,38
9.,Uruguay,14,0,84,56,24,12,20,87,74,13
10.,Suecia,12,-,70,51,19,13,19,80,73,7
11.,Bélgica,14,-,69,48,20,9,19,68,72,-4
12.,Rusia,11,-,67,45,19,10,16,77,54,23
13.,Serbia,13,-,62,46,18,8,20,66,63,3
14.,México,17,-,62,57,16,14,27,60,98,-38
15.,Polonia,9,-,53,34,16,5,13,46,45,1
16.,Hungría,9,-,48,32,15,3,14,87,57,30
17.,Portugal,8,-,48,30,14,6,10,49,35,14
18.,Suiza,12,-,44,37,12,8,17,50,64,-14
19.,Republica Checa,9,-,41,33,12,5,16,47,49,-2
20.,Austria,8,-,40,29,12,4,13,43,47,-4
21.,Chile,9,-,40,33,11,7,15,40,49,-9
22.,Croacia,6,-,37,23,11,4,8,35,26,9
23.,Dinamarca,6,-,32,20,9,5,6,30,26,4
24.,Paraguay,8,-,31,27,7,10,10,30,38,-8
25.,Colombia,6,-,30,22,9,3,10,32,30,2
26.,Estados Unidos,11,-,30,33,8,6,19,37,62,-25
27.,Rumania,7,-,29,21,8,5,8,30,32,-2
28.,Corea del Sur,11,-,27,34,6,9,19,34,70,-36
29.,Nigeria,6,-,21,21,6,3,12,23,30,-7
30.,Japón,7,-,20,21,5,5,11,20,29,-9
31.,Costa Rica,5,-,20,18,5,5,8,19,28,-9
32.,Escocia,8,-,19,23,4,7,12,25,41,-16
33.,Camerún,8,-,19,23,4,7,12,18,43,-25
34.,Perú,5,-,18,18,5,3,10,21,33,-12
35.,Bulgaria,7,-,17,26,3,8,15,22,53,-31
36.,Turquía,2,-,16,10,5,1,4,20,17,3
37.,Ghana,4,-,15,12,4,3,5,13,16,-3
38.,Irlanda,3,-,14,13,2,8,3,10,10,0
39.,Irlanda del Norte,3,-,14,13,3,5,5,13,23,-10
40.,Ecuador,4,-,13,10,4,1,5,10,11,-1
41.,Senegal,3,-,12,8,3,3,2,11,10,1
42.,Argelia,4,-,12,13,3,3,7,13,19,-6
43.,Marruecos,6,-,11,16,2,5,9,14,22,-8
44.,Arabia Saudita,6,-,11,16,3,2,11,11,39,-28
45.,Costa de Marfil,3,-,10,9,3,1,5,13,14,-1
46.,Sudáfrica,3,-,10,9,2,4,3,11,16,-5
47.,Túnez,6,-,10,15,2,4,9,13,25,-12
48.,Irán,6,-,10,15,2,4,9,9,24,-15
49.,Australia,5,-,10,16,2,4,10,13,31,-18
50.,Noruega,3,-,9,8,2,3,3,7,8,-1
51.,Alemania Oriental,1,-,8,6,2,2,2,5,5,0
52.,Grecia,3,-,8,10,2,2,6,5,20,-15
53.,Ucrania,1,-,7,5,2,1,2,5,7,-2
54.,Gales,1,-,6,5,1,3,1,4,4,0
55.,Eslovaquia,1,-,4,4,1,1,2,5,7,-2
56.,Eslovenia,2,-,4,6,1,1,4,5,10,-5
57.,Cuba,1,-,4,3,1,1,1,5,12,-7
58.,Corea del Norte,2,-,4,7,1,1,5,6,21,-15
59.,Bosnia-Herzegovina,1,-,3,3,1,0,2,4,4,0
60.,Jamaica,1,-,3,3,1,0,2,3,9,-6
61.,Nueva Zelanda,2,-,3,6,0,3,3,4,14,-10
62.,Honduras,3,-,3,9,0,3,6,3,14,-11
63.,Angola,1,-,2,3,0,2,1,1,2,-1
64.,Israel,1,-,2,3,0,2,1,1,3,-2
65.,Egipto,3,-,2,7,0,2,5,5,12,-7
66.,Islandia,1,-,1,3,0,1,2,2,5,-3
67.,Kuwait,1,-,1,3,0,1,2,2,6,-4
68.,Trinidad y Tobago,1,-,1,3,0,1,2,0,4,-4
69.,Bolivia,3,-,1,6,0,1,5,1,20,-19
70.,Catar,0,-,0,0,0,0,0,0,0,0
71.,Iraq,1,-,0,3,0,0,3,1,4,-3
72.,Togo,1,-,0,3,0,0,3,1,6,-5
73.,Canadá,2,-,0,3,0,0,3,0,5,-5
74.,Indonesia,1,-,0,1,0,0,1,0,6,-6
75.,Emiratos Arabes,1,-,0,3,0,0,3,2,11,-9
76.,Panama,1,-,0,3,0,0,3,2,11,-9
77.,China,1,-,0,3,0,0,3,0,9,-9
78.,Haití,1,-,0,3,0,0,3,2,14,-12
79.,RD Congo,1,-,0,3,0,0,3,0,14,-14
80.,El Salvador,2,-,0,6,0,0,6,1,22,-21
